German,Portuguese
Entschuldigung,Desculpe
Sorgen,Importar-se
warte,esperar
natürlich,Naturalmente
schlecht,ruim
große,Tamanho
getötet,assassinado
verstehen,Compreendo
hoffe,ter esperança
Ah,ah
Sei,Ser
Zimmer,sala
hoch,Alto
unserer,nosso
Tage,dias
Teil,papel
Wann,Quando
suchen,procurar
verlassen,sair
zeigen,demonstrar
wollten,queria
lässt,sai
Wort,palavra
eins,1
zwischen,entre
Woher,De onde
Schatz,amada
Wissen,Conhecimento
versuchen,tentar
Können,Posso
Kannst,Posso
nett,Gentil
Zu,Para
kriegen,Obtivermos
Geht,indo
Arsch,bunda
kleinen,pequeno
Hab,hab
weiss,Branco
erste,primeiro
läuft,corrida
kommst,chegando
Freundin,Namorada
Mensch,humano
beiden,Ambas
Ding,coisa
niemals,De jeito nenhum
endlich,Finalmente
Nimm,levar
muß,ter que
gehst,indo
Heute,hoje
denkst,pensar
Herz,coração
Waffe,arma
Soll,Deve
tust,Faz
Dollar,dólar
nehme,levar
Schau,mostrar
holen,buscar
oft,muitas vezes
drauf,isto
anderes,outro
Niemand,Ninguém
unten,abaixo de
Wagen,ousar
Yeah,sim
Schön,Legal
wichtig,importante
Mrs,Sra
hättest,teve
allen,tudo
Miss,Senhorita
ihrer,deles
gedacht,pensei
Nummer,número
würdest,seria
erzählen,contar
bleibt,permanece
Auch,Também
Hände,mãos
Blut,sangue
Sehen,Ver
bloß,somente
recht,Lei
bringt,traz
Bett,cama
Lassen,Deixar
Eltern,pais
gefällt,Como
Schuld,culpa
eure,sua
Plan,plano
Krieg,guerra
neuen,novo
Klar,Claro
retten,resgate
guter,bens
während,enquanto
ihrem,seus
wären,seria
Fehler,erro
scheint,parece
Lasst,Sai
gegeben,dado
An,No
hör,ouvir
glücklich,feliz
verdammt,condenado
alt,velho
Platz,"Lugar, colocar"
darum,portanto
Vielen,um monte de
falsch,incorreto
unseren,nosso
schlafen,dormir
Sagen,Dizer
nächsten,Next
fünf,cinco
frei,gratuitamente
Sorge,preocupação
Vor,Em frente
fest,firmemente
bereits,já
alleine,sozinho
Denn,Porque
Zwei,Dois
Fragen,perguntar
möglich,possível
irgendwie,de alguma forma
Papa,pai
lernen,aprender
gestern,ontem
hierher,aqui
Schiff,navio
vier,quatro
irgendwas,nada
Stimmt,Direito
Menge,quantidade
keiner,Nenhum
brauchst,necessidade
Typen,tipos
Dass,Que
Stunde,hora
Szene,cena
Hölle,inferno
einige,algum
Deshalb,Portanto
geworden,vir a ser
Telefon,telefone
Darf,Maio
Feuer,Incêndio
Wollen,Quer
Bin,sou
Alter,Era
Captain,Capitão
Aus,Fora
Dieses,Esta
Probleme,questões
Jeder,Todos
verstanden,entendido
wann,quando
alten,velho
gibt's,há
sondern,em vez de
guten,Boa
zwar,Apesar
eigenen,ter
New,Novo
Körper,corpo
hört,ouve
Zum,Para o
gebe,dar
Kumpel,Cara
Hund,cão
nochmal,novamente
hab's,Entendi
früh,cedo
Hören,Ouço
trinken,bebida
besten,melhor
meines,minha
schaffen,Criar
alte,velho
Luft,ar
Jemand,Alguém
dürfen,permitido
Meister,mestre
Erde,terra
Seit,Desde a
Sicher,Claro que sim
Hört,ouvir
Zukunft,futuro
kaum,por muito pouco
funktioniert,está funcionando
voll,cheio
Bleib,Fique
reicht,suficiente
weh,dolorido
stellen,colocar
Siehst,Ver
kleiner,menor
großen,enorme
Waffen,armas
Büro,escritório
Wahl,escolha
verlieren,perder
Wochen,semanas
Damit,A fim de
Stück,Artigo
lieben,amor
allem,tudo
getroffen,conheceu
äh,hum
Am,No
geschafft,feito
tue,Faz
gefallen,Como
Tja,Nós vamos
Boss,chefe
überall,por toda parte
Sieht,parece
passieren,acontecer
lustig,engraçado
Licht,luz
gebracht,trouxe
nennen,ligar
Folge,episódio
Gefühl,sentimento
völlig,completamente
denkt,pensa
Schlüssel,chave
drüben,bem ali
Richtig,Correto
wieso,como assim
Leuten,pessoas
Buch,livro
laufen,para correr
spielt,tocam
früher,mais cedo
Sein,Ser
krank,doente
gegangen,foi
fand,encontrado
Seine,Seu
Pass,Passaporte
fühle,sentir
Himmel,céu
froh,Alegre
leicht,luz
direkt,diretamente
langsam,devagar
wolltest,desejado
erinnern,lembrar
zuerst,primeiro
Krankenhaus,hospital
Viel,Muito
beste,melhor
welche,Que
genommen,tomou
Arzt,médico
unserem,nosso
Idiot,idiota
Machen,Fazer
glaubst,pensar
jede,cada
Ohne,Sem
groß,ampla
hattest,teve
Äh,hum
Jungen,Rapazes
Rest,descanso
Unsere,Nosso
versuche,tentativas
Tagen,Conheçer
nächste,Next
Entschuldigen,Desculpar-se
Doktor,médico
spricht,fala
könnt,posso
hält,mantém
Team,equipe
Verstanden,entendido
kämpfen,lutar
heiraten,casar
könntest,poderia
Wow,Uau
Etwas,Alguma coisa
Straße,estrada
Mist,Droga
König,Rei
redest,falando sobre
kleines,pequeno
lebt,vidas
erklären,explicar
worden,fui
Millionen,milhões
Wiedersehen,Encontrar novamente
Onkel,tio
kennst,conhecer
sitzen,sentar
dies,esta
weniger,Menos
Kaffee,café
ernst,sério
wollt,quer
tragen,usar
Zeug,rechear
trotzdem,mesmo assim
Ihren,Seus
kaufen,comprar
Liste,Lista
ändern,mudar
Kampf,luta
hasse,odiar
Person,pessoa
Mund,boca
umbringen,mate
Präsident,Presidente
Boden,chão
Wohin,Onde
machte,feito
Party,Festa
gefragt,Perguntou
Seht,Veja
irgendwo,em algum lugar
kümmern,Para cuidar de
kennt,sabe
verletzt,ferido
Habt,Ter
Nachricht,mensagem
Willkommen,receber
vielen,um monte de
hart,duro
lasse,sair
total,total
Gefängnis,cadeia
außer,exceto
Sicherheit,segurança
Schnell,Rápido
wem,o qual
ehrlich,honesto
interessiert,Interessado
Sex,sexo
sagten,disse
ziehen,puxar
Welche,Que
Unser,Nosso
Augenblick,momento
angerufen,chamado
aufhören,Pare
Klasse,aula
Bild,foto
stark,fortemente
Dies,Esta
Eure,Sua
zehn,dez
Sinn,senso
vorstellen,para apresentar
Traum,Sonhe
länger,mais tempo
manchmal,as vezes
anrufen,ligar
sechs,seis
Arschloch,Idiota
sollst,Obediente
gestorben,faleceu
Tages,dia
war's,foi isso
verschwinden,desaparecer
Kraft,força
gesprochen,falado
heraus,Fora
genauso,bem desse jeito
wärst,'d
Eins,1
damals,naquela época
heißen,ser chamado
Liebling,querido
wahrscheinlich,provavelmente
deshalb,portanto
Stelle,Trabalho
halt,Pare
erwartet,esperado
solche,tal
meisten,a maioria
bringe,trazer
still,quieto
umgebracht,assassinado
Stimme,voz
General,em geral
Geben,Dar
Entschuldige,Desculpe
Vergiss,esqueço
rede,Fala
führen,liderar
Bewegung,Mover
höre,ouvir
Sonst,Por outro lado
Geschäft,o negócio
werdet,vontade
konnten,poderia
wartet,espera
Raus,Fora
